timestamp_extraccion,ubicacion_id,ubicacion_nombre,ciudad,latitud,longitud,proveedor,owner,tipo_instrumento,es_movil,es_monitor,fecha_primer_dato,fecha_ultimo_dato,timezone,total_sensores,parametros_disponibles
2025-08-08T21:23:46.768343,725,Independencia,Sin ciudad,-33.422301,-70.651162,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2021-08-08T04:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:23:55.954970,808,Indura,Talcahuano,-36.769803,-73.113708,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:05.586329,810,JUNJI,Hualpén,-36.780632,-73.115657,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:17.717987,812,ENAP Price,Hualpén,-36.791231,-73.119152,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:27.588562,830,Sierra Gorda ,Sierra Gorda,-22.888724142633,-69.318140714844,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2024-06-07T20:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:36.409232,849,El Bosque (Acreditada),El Bosque,-33.547099645619,-70.666204101852,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-03-11T13:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:45.327825,850,Rancagua II,Rancagua,-34.143888375919,-70.737131207664,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:24:54.232822,852,La Florida (Acreditada),La Florida,-33.516630362266,-70.588123961971,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:06.344023,909,Progreso,Sin ciudad,-37.068142,-72.289451,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-11-13T14:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:15.893170,933,Valle Alegre,Quintero,-32.807512,-71.436274,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
